"siret","code","workforce_count","coordinates","usual_name"
"42390313700028","43.32C",35,"(47.789063,-3.238617)","SARL ANGLE ROND"
"38204738900020","10.39A",75,"(47.688946,-3.218983)","DELIVERT"
"41106810900015","43.99C",35,"(47.341292,-3.162176)","SERVIBAT CONSTRUCTIONS"
"34431386100587","42.21Z",150,"(47.677591,-2.407446)","SOGEA OUEST TP"
"38539759100020","43.21A",35,"(47.682918,-2.311114)","ETS RYO"
"34947190400012","33.11Z",35,"(47.633154,-2.283082)","RYO AFFUTAGE SERVICE"
"39040059600016","42.21Z",35,"(48.153088,-3.638131)","SAS TOULGOAT"
"44460844201701","35.13Z",35,"(48.062062,-2.95826)","ENEDIS"
"44397617000037","42.22Z",35,"(48.063463,-2.868037)","GARCZYNSKI TRAPLOIR MORBIHAN"
"38227830700022","33.20A",35,"(48.052658,-2.691025)","BRETIM"
"34039347900019","43.99C",35,"(47.978842,-2.746898)","SARL JEGAT ALEXANDRE"
"33114238000020","43.31Z",35,"(48.086564,-2.766727)","ISO BREIZH"
"40222229300035","43.32A",35,"(48.040782,-2.759409)","SARL GOUEDARD"
"37817458500026","43.12A",35,"(48.120043,-2.866958)","HENRIO TP"
"34426370200187","38.22Z",35,"(48.089675,-2.824335)","SUEZ RV OUEST"
"34279309800068","43.21A",75,"(49.116488,6.236291)","EIFFAGE ENERGIE SYSTEMES - LORRAINE MARNE ARDENNES"
"36580003600029","18.12Z",35,"(49.119246,6.239043)","IMPRIMERIE GUEBLEZ + CLIC' PRIM"
"36780015800050","42.21Z",35,"(49.112462,6.233447)","MAYER DETP"
"37380015000022","43.32B",35,"(49.120247,6.211714)","WIEDEMANN JASALU"
"37943445900069","41.10A",35,"(49.101559,6.227231)","MAISONS HORIZON"
"38820142800066","43.12A",35,"(49.110114,6.249362)","SETHY"
"41214214300277","33.14Z",35,"(49.112792,6.233241)","BEALAS ENERGIE SERVICES"
"43408539500417","42.22Z",35,"(49.093174,6.233805)","SPIE CITYNETWORKS"
"44461925801617","35.12Z",75,"(49.114817,6.242751)","RTE RESEAU DE TRANSPORT D ELECTRICITE"
"41483743500026","43.21A",75,"(49.139986,6.16393)","ACTEMIUM"
"43250597200153","42.22Z",35,"(49.143008,6.176871)","ERT TECHNOLOGIES"
"35880108200035","41.10C",35,"(49.114293,6.1843)","SEBL GRAND EST"
"38371167800029","43.29B",35,"(49.126097,6.165823)","SCHINDLER"
"44478651104826","35.22Z",35,"(49.098146,6.162307)","GRDF"
"38084279900013","10.71C",35,"(49.093774,6.151889)","4 M BOULANGERIE DUDOT"
"44460844203129","35.13Z",75,"(49.097534,6.16042)","ENEDIS"
"44460844203137","35.13Z",150,"(49.090602,6.166745)","ENEDIS"
"44478651100873","35.22Z",150,"(49.090802,6.166745)","GRDF"
"34232918200022","25.50B",35,"(49.184433,6.151526)","PROCIDEC"
"40952616700310","42.11Z",35,"(49.184333,6.151426)","EUROVIA MANAGEMENT"
"33973556500055","43.32A",35,"(49.072119,6.1414)","MGJ SAS MAGE"
"35159330600043","43.21A",35,"(49.073152,6.143238)","TEG"
"36380065700043","33.20D",35,"(49.072577,6.143983)","TELMO"
"38325260800104","42.12Z",75,"(49.074695,6.142949)","ETF"
"38815093000021","43.22B",35,"(49.085488,6.143006)","LORRY"
"39773049000026","43.32A",35,"(49.072601,6.142194)","MENUISERIE CAPDOUZE"
"40375540800016","43.32C",35,"(49.088099,6.148288)","KARM AGENCEMENT"
"41396895900036","18.12Z",35,"(49.073342,6.145665)","DIGIT'OFFSET"
"36480088800034","43.21A",35,"(49.089701,6.124659)","ASCELEC"
"35980053900017","43.32C",75,"(49.116464,6.149613)","R. FLUCKLINGER"
"39996963300037","43.99D",35,"(49.109188,6.124128)","VOLTIGE ET BATINET"
"33317104900047","43.32A",35,"(49.075843,6.107594)","BRIOTET FERMETURES SARL"
"37280092000012","43.99C",35,"(49.18542,6.041311)","ENTREPRISE REATO ET CIE"
"36880055300118","43.34Z",75,"(49.145947,6.130194)","GROUPE SALMON"
"35074928900038","35.30Z",35,"(49.15629,6.187947)","SOLOREC"
"34842716200030","22.23Z",35,"(48.968371,6.296131)","CREA DIFFUSION"
"37380179400026","33.11Z",35,"(49.19793,6.160025)","MECA LEBEAU"
"42312343900022","43.12A",150,"(49.212935,6.157055)","ALTIMA"
"38475146700026","33.17Z",75,"(49.246566,6.155873)","SOGEEFER"
"44412441600074","10.71C",35,"(49.248166,6.166716)","PITHEO"
"44458645700046","43.99D",35,"(49.243588,6.146109)","SOCIETE ARTESIENNE DE FUMISTERIE"
"36580001000016","25.62B",35,"(49.240477,6.168189)","ETS HIESIGER"
"34407112100034","28.41Z",35,"(49.285799,6.166512)","INDUSTRIALISATION ET DEVELOPPEMENT"
"40099877900021","25.61Z",150,"(49.274714,6.168513)","GROUPE MASCI"
"40986811400169","43.21A",35,"(49.274714,6.168713)","INEO INDUSTRIE & TERTIAIRE EST"
"33794035700029","29.20Z",35,"(49.227691,6.218762)","MANULORRAINE"
"41165437900022","13.92Z",35,"(49.227716,6.215437)","UTILIS SA"
"42188149100037","43.99A",35,"(49.219414,6.208982)","E B I"
"43168097400026","43.34Z",35,"(49.22313,6.221041)","BOUSTER PEINTURE"
"35409866700059","43.99C",35,"(49.173371,6.152957)","SARL PFF FACADE"
"38042252700032","43.32B",35,"(49.173471,6.152757)","GRAU-ALU"
