"Source";"Target";"Weight"
"D1206";"B1806";0.5
"D1206";"D1201";0.5
"D1206";"D1207";0.9
"D1206";"D1213";0.5
"D1206";"D1214";0.9
"D1206";"D1301";0.5
"D1206";"D1402";0.5
"D1206";"H2401";0.9
"D1206";"J1411";0.5
"D1206";"K2111";0.5
"D1206";"L1502";0.5
"D1207";"B1803";0.5
"D1207";"B1806";0.5
"D1207";"D1201";0.5
"D1207";"D1212";0.9
"D1207";"D1214";0.9
"D1207";"D1301";0.5
"D1207";"H2411";0.9
"D1207";"L1502";0.5
"D1208";"D1202";0.9
"D1208";"D1203";0.9
"D1208";"D1214";0.9
"D1208";"D1301";0.5
"D1208";"D1403";0.5
"D1208";"K1103";0.5
"D1208";"L1501";0.9
"D1209";"A1414";0.5
"D1209";"B1301";0.5
"D1209";"D1107";0.5
"D1209";"D1210";0.9
"D1209";"D1211";0.9
"D1209";"D1212";0.9
"D1209";"D1214";0.9
"D1209";"D1301";0.5
"D1209";"D1402";0.5
"D1209";"D1502";0.5
"D1209";"D1503";0.5
"D1209";"D1505";0.9
"D1209";"D1508";0.5
"D1209";"G1202";0.5
"D1210";"A1408";0.5
"D1210";"A1501";0.5
"D1210";"D1209";0.9
"D1210";"D1211";0.9
"D1210";"D1212";0.9
"D1210";"D1214";0.9
"D1210";"D1301";0.5
"D1210";"D1402";0.5
"D1210";"D1501";0.9
"D1210";"D1503";0.5
"D1210";"D1505";0.9
"D1210";"D1508";0.5
"D1211";"B1301";0.5
"D1211";"D1106";0.9
"D1211";"D1201";0.9
"D1211";"D1212";0.9
"D1211";"D1213";0.9
"D1211";"D1214";0.9
"D1211";"D1301";0.5
"D1211";"D1402";0.5
"D1211";"D1403";0.5
"D1211";"D1408";0.9
"D1211";"D1501";0.9
"D1211";"D1503";0.5
"D1211";"D1505";0.9
"D1211";"D1508";0.5
"D1212";"D1201";0.5
"D1212";"D1211";0.9
"D1212";"D1213";0.5
"D1212";"D1214";0.9
"D1212";"D1301";0.5
"D1212";"D1402";0.5
"D1212";"D1403";0.5
"D1212";"D1501";0.9
"D1212";"D1503";0.5
"D1212";"D1505";0.9
"D1213";"D1211";0.9
"D1213";"D1212";0.9
"D1213";"D1214";0.9
"D1213";"D1301";0.9
"D1213";"D1401";0.9
"D1213";"D1402";0.9
"D1213";"D1406";0.5
"D1213";"D1503";0.5
"D1213";"M1101";0.5
"D1214";"B1301";0.5
"D1214";"D1201";0.5
"D1214";"D1211";0.9
"D1214";"D1212";0.9
"D1214";"D1213";0.5
"D1214";"D1301";0.5
"D1214";"D1402";0.5
"D1214";"D1403";0.5
"D1214";"D1501";0.9
"D1214";"D1503";0.5
"D1214";"D1505";0.9
"D1214";"J1405";0.5
"D1214";"J1405";0.5
"D1301";"D1401";0.9
"D1301";"D1402";0.9
"D1301";"D1503";0.9
"D1301";"D1509";0.5
"D1301";"K2111";0.5
"D1301";"M1701";0.5
"D1301";"N1303";0.5
"D1401";"C1102";0.5
"D1401";"C1201";0.9
"D1401";"C1206";0.5
"D1401";"D1213";0.9
"D1401";"D1402";0.9
"D1401";"D1404";0.9
"D1401";"D1407";0.5
"D1401";"D1408";0.9
"D1401";"K2111";0.5
"D1401";"M1605";0.9
"D1401";"M1607";0.9
"D1401";"M1701";0.5
"D1401";"M1704";0.5
"D1401";"N1202";0.9
"D1401";"N1303";0.5
"D1402";"C1102";0.9
"D1402";"C1206";0.5
"D1402";"C1504";0.5
"D1402";"D1107";0.9
"D1402";"D1213";0.9
"D1402";"D1404";0.9
"D1402";"D1405";0.5
"D1402";"D1407";0.5
"D1402";"D1503";0.5
"D1402";"K2111";0.5
"D1403";"C1102";0.5
"D1403";"C1504";0.5
"D1403";"D1211";0.9
"D1403";"D1212";0.9
"D1403";"D1214";0.9
"D1403";"D1401";0.5
"D1403";"D1402";0.5
"D1403";"D1404";0.5
"D1403";"D1407";0.5
"D1403";"D1408";0.9
"D1403";"D1501";0.9
"D1403";"K2111";0.5
"D1404";"C1102";0.9
"D1404";"C1504";0.5
"D1404";"D1401";0.9
"D1404";"D1402";0.9
"D1404";"D1403";0.9
"D1404";"D1406";0.5
"D1404";"K2111";0.5
"D1404";"M1302";0.5
"D1405";"C1102";0.9
"D1405";"C1504";0.9
"D1405";"D1401";0.9
"D1405";"D1402";0.9
"D1405";"D1406";0.5
"D1405";"D1407";0.9
"D1405";"M1705";0.5
"D1406";"D1408";0.9
"D1406";"D1408";0.9
"D1406";"D1504";0.5
"D1406";"D1506";0.9
"D1406";"D1509";0.9
"D1406";"K2111";0.5
"D1406";"M1701";0.9
"D1406";"M1706";0.9
"D1406";"M1707";0.5
"D1407";"C1102";0.9
"D1407";"C1504";0.9
"D1407";"D1402";0.9
"D1407";"D1405";0.5
"D1407";"D1406";0.5
"D1407";"H1102";0.9
"D1407";"K2111";0.9
"D1408";"D1401";0.9
"D1408";"D1402";0.5
"D1408";"D1403";0.9
"D1408";"D1405";0.5
"D1408";"D1406";0.5
"D1408";"D1406";0.5
"D1408";"D1406";0.5
"D1408";"E1101";0.9
"D1408";"G1303";0.5
"D1408";"M1401";0.9
"D1408";"M1404";0.5
"D1501";"D1106";0.9
"D1501";"D1210";0.9
"D1501";"D1211";0.9
"D1501";"D1212";0.9
"D1501";"D1214";0.9
"D1501";"D1402";0.5
"D1501";"D1403";0.9
"D1501";"M1401";0.9
"D1502";"D1301";0.9
"D1502";"D1402";0.5
"D1502";"D1503";0.9
"D1502";"D1504";0.5
"D1502";"D1506";0.5
"D1502";"D1509";0.5
"D1502";"K2111";0.5
"D1502";"M1101";0.5
"D1503";"D1301";0.9
"D1503";"D1402";0.5
"D1503";"D1502";0.9
