siret,naf,ri,F_1_4,F_2_2,F_2_4,F_3_3
38528672900020,10.71C,2187.31,0.2,0,9.93,0.48
33208694100033,22.23Z,3945.06,5.4,5.48,2.46,2.67
33964118500063,10.71D,2187.31,0.2,0,9.93,0.48
41321061800018,01.24Z,3718.81,1.5,10.0,1.79,2.15
40477705400010,10.71C,2187.31,0.2,0,9.93,0.48
34061115100028,17.21B,7414.49,10,1.93,7.32,10
39022931800014,10.71C,2187.31,0.2,0,9.93,0.48
35240529400039,17.21B,7414.49,10,1.93,7.32,10
40864200700020,10.71C,2187.31,0.2,0,9.93,0.48
34986033800038,17.21B,7414.49,10,1.93,7.32,10
39455732600011,10.71C,2187.31,0.2,0,9.93,0.48
41008398400022,10.71A,2187.31,0.2,0,9.93,0.48
38441663200014,13.95Z,4423.55,2.6,10.0,2.48,2.38
40305211100222,10.71C,2187.31,0.2,0,9.93,0.48
39855642300034,25.99B,11511.75,10,10,4.89,7.43
40937219000036,17.21B,7414.49,10,1.93,7.32,10
43297678500019,31.01Z,3372.68,3.1,5.15,2.44,1.28
34890059800031,10.71C,2187.31,0.2,0,9.93,0.48
41973742400012,10.71D,2187.31,0.2,0,9.93,0.48
43020123600014,10.71C,2187.31,0.2,0,9.93,0.48
33144343200017,10.71D,2187.31,0.2,0,9.93,0.48
43020123600196,10.71C,2187.31,0.2,0,9.93,0.48
43485195200185,10.71D,2187.31,0.2,0,9.93,0.48
37915249900016,10.71D,2187.31,0.2,0,9.93,0.48
43020123600154,10.71C,2187.31,0.2,0,9.93,0.48
35151222300048,17.21B,7414.49,10,1.93,7.32,10
39381001500015,10.82Z,5393.9,5.2,8.1,2.74,5.45
38366839900017,10.71D,2187.31,0.2,0,9.93,0.48
44286913700012,17.21B,7414.49,10,1.93,7.32,10
40188124800066,22.29A,5478.54,6.4,3.84,5.03,5.69
42499667600013,10.71C,2187.31,0.2,0,9.93,0.48
43020123600048,10.71A,2187.31,0.2,0,9.93,0.48
38116511700015,10.72Z,2172.18,0.2,0,2.56,0.13
38266028000027,28.41Z,3714.59,1.1,9.29,2.2,0.49
42063938700026,17.21B,7414.49,10,1.93,7.32,10
38175629500022,17.21C,7414.49,10,1.93,7.32,10
35280175700027,29.31Z,3521.05,1.1,7.37,2.4,0.5
37941105100020,10.71C,2187.31,0.2,0,9.93,0.48
38810604900025,10.71D,2187.31,0.2,0,9.93,0.48
39774031700011,10.71C,2187.31,0.2,0,9.93,0.48
33823818100014,10.71C,2187.31,0.2,0,9.93,0.48
39769333400013,17.21B,7414.49,10,1.93,7.32,10
43988846200033,10.71C,2187.31,0.2,0,9.93,0.48
42017087000026,17.21B,7414.49,10,1.93,7.32,10
34784788100070,26.11Z,5072.68,10,0.24,2.29,10
38897839700049,10.71C,2187.31,0.2,0,9.93,0.48
42256782600017,10.71C,2187.31,0.2,0,9.93,0.48
33771523900071,16.24Z,2179.46,0.3,0,2.51,0.19
42192455600010,10.71C,2187.31,0.2,0,9.93,0.48
38849803200027,17.21B,7414.49,10,1.93,7.32,10
34529700600016,28.41Z,3720.77,1.2,9.29,2.2,0.49
37749028900057,10.71C,2187.31,0.2,0,9.93,0.48
35288853100048,28.29A,10159.78,7.5,10,4.5,8.43
42046754000027,10.71C,2187.31,0.2,0,9.93,0.48
43185871100028,25.12Z,4536.8,4.7,10.0,2.42,1.76
42565009000011,27.11Z,5096.23,7.3,8.86,2.25,3.61
42391971100014,31.09B,5839.22,0.8,10,4.97,0.73
37810598500022,17.21B,7414.49,10,1.93,7.32,10
39020638100027,25.11Z,3980.8,3.2,10.0,2.17,0.74
41440031700114,10.71C,2187.31,0.2,0,9.93,0.48
33504037400019,25.12Z,4512.82,4.5,10.0,2.42,1.76
40098551100015,25.12Z,4512.82,4.5,10.0,2.42,1.76
35063646000015,01.21Z,3540.59,0.8,10.0,1.76,1.13
42050173600011,10.71C,2187.31,0.2,0,9.93,0.48
43379778400033,25.12Z,4500.82,4.4,10.0,2.42,1.76
42181984800043,22.22Z,4758.8,10,0,2.51,9.09
41832598100011,10.71C,2187.31,0.2,0,9.93,0.48
40313975100016,23.61Z,3825.92,1.8,10.0,2.21,0.0
40343901100020,25.11Z,3980.8,3.2,10.0,2.17,0.74
40067038600012,17.21B,7414.49,10,1.93,7.32,10
35015119700026,31.03Z,4004.63,0.1,10.0,2.55,0.1
34243878500038,22.22Z,4602.19,9.3,0,2.51,9.09
44081230300012,10.71C,2187.31,0.2,0,9.93,0.48
44005985500021,31.09A,5839.22,0.8,10,4.97,0.73
39436790800040,10.71C,2187.31,0.2,0,9.93,0.48
35052088800024,17.21B,7414.49,10,1.93,7.32,10
33382294800019,31.09A,5839.22,0.8,10,4.97,0.73
38056822000020,15.12Z,4433.37,3.5,9.63,2.36,2.59
44447506500017,15.12Z,4433.37,3.5,9.63,2.36,2.59
42322944200011,10.13A,8135.65,4.8,10,5.38,4.81
43777503400030,25.11Z,3995.37,3.4,10.0,2.17,0.74
44073608000027,28.23Z,2173.14,0.2,0,2.32,0.15
38343311700017,28.99B,2608.85,1.1,1.14,4.32,0.74
35208407300050,10.71C,2187.31,0.2,0,9.93,0.48
41224231500015,38.32Z,2207.54,0.7,0,2.49,0.37
39370985200015,17.21B,7414.49,10,1.93,7.32,10
40203546300023,17.21B,7414.49,10,1.93,7.32,10
34339778200016,10.85Z,2484.08,0.7,1.17,2.8,1.08
34933242900019,10.71C,2187.31,0.2,0,9.93,0.48
43260374400033,10.71D,2187.31,0.2,0,9.93,0.48
37904139500029,24.45Z,4436.16,7.7,3.64,2.26,5.3
39979502000011,28.25Z,3328.12,5.1,3.01,2.23,2.69
38928475300032,20.41Z,4084.46,1.8,9.74,2.46,1.08
43835695800035,10.71C,2187.31,0.2,0,9.93,0.48
39889184600022,10.71C,2187.31,0.2,0,9.93,0.48
34488351700015,10.71D,2187.31,0.2,0,9.93,0.48
42866357900012,22.22Z,4646.94,9.5,0,2.51,9.09
42813152800013,10.51C,16243.35,6.0,10,9.89,8.91
40350526600011,10.71C,2187.31,0.2,0,9.93,0.48
40136674500016,31.09B,5839.22,0.8,10,4.97,0.73
33355698300034,23.63Z,4338.57,5.2,10.0,2.5,0.59
33804674100199,10.71D,2187.31,0.2,0,9.93,0.48
37999613500040,25.11Z,3988.08,3.3,10.0,2.17,0.74
37842629000011,10.71C,2187.31,0.2,0,9.93,0.48
40385130600049,10.71D,2187.31,0.2,0,9.93,0.48
43920199700012,17.21B,7414.49,10,1.93,7.32,10
35330523800100,17.21B,7414.49,10,1.93,7.32,10
38458913100117,10.71B,2187.31,0.2,0,9.93,0.48
38817908700019,10.71C,2187.31,0.2,0,9.93,0.48
38844798900012,10.71C,2187.31,0.2,0,9.93,0.48
38831591300011,10.71C,2187.31,0.2,0,9.93,0.48
33809871800046,10.71D,2187.31,0.2,0,9.93,0.48
39402295800026,10.71C,2187.31,0.2,0,9.93,0.48
42311985800029,17.21B,7414.49,10,1.93,7.32,10
44230651000011,10.71C,2187.31,0.2,0,9.93,0.48
44233415700041,17.21B,7414.49,10,1.93,7.32,10
43972109300011,10.71C,2187.31,0.2,0,9.93,0.48
38027663400025,20.59Z,4146.74,5.5,6.36,2.28,3.09
38839278900011,10.71C,2187.31,0.2,0,9.93,0.48
38195155700028,25.73A,5886.45,2.7,10,4.45,1.93
39221999400028,17.21B,7414.49,10,1.93,7.32,10
35392644700130,27.12Z,3732.96,2.1,8.22,2.27,1.18
41821400300034,20.16Z,8000.26,10,6.98,2.52,10
43321268500013,10.71C,2187.31,0.2,0,9.93,0.48
35850094000012,10.71C,2187.31,0.2,0,9.93,0.48
44397689900031,25.73B,5886.45,2.7,10,4.45,1.93
44378278400062,29.32Z,2947.31,5.4,0.8,2.43,2.66
34313932500025,20.17Z,4838.82,5.8,10.0,2.24,2.87
41969436900028,29.32Z,2947.31,5.4,0.8,2.43,2.66
38237722400029,28.25Z,3339.5,5.2,3.01,2.23,2.69
44115191700024,22.22Z,4758.8,10,0,2.51,9.09
42206775100020,28.23Z,2173.14,0.2,0,2.32,0.15
35002411300036,15.12Z,4479.21,3.8,9.63,2.36,2.59
33211009700158,20.52Z,3890.4,1.6,8.78,2.38,1.52
44206529800022,10.71C,2187.31,0.2,0,9.93,0.48
39453919100046,31.09A,5839.22,0.8,10,4.97,0.73
42945100800024,17.21B,7414.49,10,1.93,7.32,10
42145440600040,20.15Z,7769.38,10,7.37,2.2,10
41212912400019,10.71C,2187.31,0.2,0,9.93,0.48
34514851400028,29.32Z,2957.36,5.5,0.8,2.43,2.66
41452393600022,17.21B,7414.49,10,1.93,7.32,10
44223178300014,38.11Z,2509.03,1.3,1.34,2.52,0.75
40093025100022,17.21C,7414.49,10,1.93,7.32,10
35075816500012,10.71C,2187.31,0.2,0,9.93,0.48
39332407400037,10.71C,2187.31,0.2,0,9.93,0.48
40278990300018,10.71C,2187.31,0.2,0,9.93,0.48
33431548800059,10.12Z,4190.33,1.3,9.23,2.74,1.57
38828013300017,10.71C,2182.16,0.1,0,9.93,0.48
41867986600511,23.61Z,3830.12,1.9,10.0,2.21,0.0
38398687400204,10.11Z,5730.55,6.1,8.33,2.58,6.05
41428075000020,10.71D,2182.16,0.1,0,9.93,0.48
40267432900055,20.14Z,6015.02,10,2.49,2.42,10
39927935500032,13.96Z,2396.71,0.6,1.1,2.47,0.34
33444011200012,10.71A,2187.31,0.2,0,9.93,0.48
37977835000023,25.11Z,3988.08,3.3,10.0,2.17,0.74
34484499800171,29.32Z,2927.23,5.2,0.8,2.43,2.66
41456967300034,01.24Z,3755.85,1.8,10.0,1.79,2.15
38078472800012,22.21Z,8012.5,10,7.26,2.43,10
35720005400074,10.62Z,4739.4,5.2,6.99,2.26,5.42
44366016200027,10.71C,2187.31,0.2,0,9.93,0.48
33960445600014,10.71C,2187.31,0.2,0,9.93,0.48
39216565000012,24.42Z,8652.39,10,9.04,2.36,10
